"Date","Day","Route","Time","Location","Incident","Direction","Vehicle","Delay"
2024-07-21,"Sunday",101,"11:25:41","KEELE AND GLENLAKE","Security","E",6870,0
2024-05-04,"Saturday",100,"10:54:36","BLOOR AND MANNING","Mechanical","S",8037,1
2024-07-03,"Wednesday",115,"23:40:21","BLOOR AND MANNING","Vision","S",6970,0
2024-11-28,"Thursday",97,"18:47:07","PARLIAMENT AND BLOOR","General Delay","N",8577,0
2024-07-24,"Wednesday",97,"03:38:29","MAIN STATION","Mechanical","S",7211,1
2024-10-11,"Friday",95,"04:27:46","MAIN STATION","Mechanical","E",7096,1
2024-11-30,"Saturday",112,"10:51:05","FINCH STATION","Mechanical","S",7119,1
2024-05-01,"Wednesday",100,"13:00:11","FINCH STATION","Vision","S",7197,0
2024-03-11,"Monday",82,"03:38:45","PARLIAMENT AND BLOOR","Vision","E",6332,0
2024-03-03,"Sunday",105,"17:23:35","FINCH STATION","Security","S",7924,0
2024-07-26,"Friday",110,"03:08:44","MAIN STATION","General Delay","N",6740,1
2024-06-10,"Monday",115,"05:49:43","BLOOR AND MANNING","Mechanical","N",8488,1
2024-11-17,"Sunday",93,"08:07:17","BLOOR AND MANNING","Mechanical","N",6904,1
2024-04-10,"Wednesday",84,"07:30:58","BLOOR AND MANNING","Security","W",5615,0
2024-10-06,"Sunday",113,"03:01:08","FINCH STATION","Mechanical","N",7839,1
2024-03-26,"Tuesday",114,"19:23:22","FINCH STATION","Vision","E",6989,0
2024-01-21,"Sunday",98,"06:55:31","PARLIAMENT AND BLOOR","Security","W",7522,1
2024-04-01,"Monday",90,"06:52:14","KEELE AND GLENLAKE","Security","E",5973,1
2024-05-13,"Monday",68,"02:01:47","MAIN STATION","General Delay","N",6629,0
2024-08-23,"Friday",92,"10:48:24","PARLIAMENT AND BLOOR","Security","N",7034,0
2024-05-23,"Thursday",109,"04:20:45","BLOOR AND MANNING","Mechanical","W",7725,1
2024-09-30,"Monday",84,"18:35:40","KEELE AND GLENLAKE","Mechanical","W",6165,1
2024-11-30,"Saturday",96,"23:36:39","PARLIAMENT AND BLOOR","Security","N",5998,0
2024-01-23,"Tuesday",104,"00:35:19","PARLIAMENT AND BLOOR","General Delay","N",6871,0
2024-04-14,"Sunday",98,"03:37:51","MAIN STATION","Security","N",6016,0
2024-05-11,"Saturday",76,"17:36:27","MAIN STATION","Security","N",6809,0
2024-11-03,"Sunday",116,"15:31:10","KEELE AND GLENLAKE","Security","W",7556,1
2024-06-08,"Saturday",107,"05:13:17","PARLIAMENT AND BLOOR","Mechanical","S",9553,1
2024-04-20,"Saturday",96,"01:26:04","FINCH STATION","Security","S",6957,0
2024-08-03,"Saturday",95,"06:33:00","MAIN STATION","Mechanical","N",5613,1
2024-07-01,"Monday",101,"08:15:30","BLOOR AND MANNING","Security","S",7867,0
2024-02-15,"Thursday",102,"22:46:34","FINCH STATION","Mechanical","S",6666,1
2024-03-14,"Thursday",102,"10:35:19","KEELE AND GLENLAKE","Mechanical","S",9116,1
2024-07-02,"Tuesday",70,"11:45:31","KEELE AND GLENLAKE","Mechanical","N",7183,1
2024-11-22,"Friday",102,"02:19:30","FINCH STATION","Mechanical","S",8154,1
2024-01-04,"Thursday",96,"11:48:25","PARLIAMENT AND BLOOR","Mechanical","W",5137,1
2024-03-27,"Wednesday",111,"14:24:02","BLOOR AND MANNING","Mechanical","N",7578,1
2024-07-11,"Thursday",97,"22:05:36","FINCH STATION","Vision","E",9168,1
2024-08-23,"Friday",107,"22:52:46","KEELE AND GLENLAKE","Security","N",6123,0
2024-01-14,"Sunday",109,"15:44:36","BLOOR AND MANNING","Vision","E",5547,0
2024-02-22,"Thursday",92,"08:04:32","FINCH STATION","General Delay","W",7754,0
2024-09-12,"Thursday",103,"10:26:31","KEELE AND GLENLAKE","General Delay","S",6971,0
2024-08-13,"Tuesday",83,"02:55:09","FINCH STATION","Security","S",7042,1
2024-09-24,"Tuesday",85,"07:32:45","FINCH STATION","Vision","E",8039,0
2024-12-08,"Sunday",95,"07:01:49","BLOOR AND MANNING","Security","E",7536,0
2024-04-28,"Sunday",97,"01:20:21","FINCH STATION","Security","S",6050,0
2024-02-22,"Thursday",87,"13:31:13","BLOOR AND MANNING","Vision","S",5198,0
2024-02-24,"Saturday",90,"09:25:15","MAIN STATION","Vision","W",5311,0
2024-11-16,"Saturday",104,"08:51:05","BLOOR AND MANNING","General Delay","N",6311,0
2024-02-05,"Monday",102,"18:17:27","FINCH STATION","General Delay","S",5072,0
2024-02-13,"Tuesday",90,"05:58:01","BLOOR AND MANNING","Mechanical","N",5273,1
2024-05-24,"Friday",109,"10:54:32","MAIN STATION","Security","N",7798,0
2024-10-03,"Thursday",96,"07:57:50","FINCH STATION","Security","S",7915,0
2024-10-25,"Friday",100,"20:03:27","PARLIAMENT AND BLOOR","General Delay","S",6376,0
2024-12-02,"Monday",101,"22:02:45","BLOOR AND MANNING","Vision","E",6382,0
2024-03-23,"Saturday",114,"04:26:23","BLOOR AND MANNING","Security","N",7099,0
2024-10-21,"Monday",104,"11:51:10","BLOOR AND MANNING","Security","E",5711,0
2024-11-01,"Friday",89,"08:33:45","BLOOR AND MANNING","Security","E",8049,0
2024-11-24,"Sunday",110,"18:18:23","BLOOR AND MANNING","Security","S",5202,0
2024-05-27,"Monday",109,"12:12:36","BLOOR AND MANNING","Mechanical","N",7252,1
2024-10-16,"Wednesday",102,"00:03:30","KEELE AND GLENLAKE","Vision","E",6995,0
2024-07-31,"Wednesday",98,"00:23:05","PARLIAMENT AND BLOOR","General Delay","E",5825,0
2024-07-14,"Sunday",94,"06:43:59","FINCH STATION","General Delay","N",6702,0
2024-03-09,"Saturday",78,"11:36:21","BLOOR AND MANNING","Mechanical","N",7458,1
2024-10-01,"Tuesday",99,"18:26:31","KEELE AND GLENLAKE","General Delay","N",6962,0
2024-09-26,"Thursday",105,"12:10:44","BLOOR AND MANNING","Security","N",6351,1
2024-06-18,"Tuesday",99,"18:47:24","MAIN STATION","Security","E",6742,0
2024-03-27,"Wednesday",107,"17:54:05","PARLIAMENT AND BLOOR","General Delay","N",7329,0
2024-03-27,"Wednesday",87,"12:31:09","PARLIAMENT AND BLOOR","Vision","W",7787,0
2024-07-08,"Monday",113,"15:07:06","FINCH STATION","General Delay","E",6605,0
2024-02-22,"Thursday",96,"08:06:34","PARLIAMENT AND BLOOR","Vision","W",5612,0
2024-07-07,"Sunday",106,"19:21:47","PARLIAMENT AND BLOOR","General Delay","E",7210,1
2024-11-22,"Friday",103,"03:20:32","PARLIAMENT AND BLOOR","Vision","N",8377,0
2024-08-09,"Friday",83,"03:12:12","FINCH STATION","Mechanical","S",7808,1
2024-02-08,"Thursday",95,"11:50:50","PARLIAMENT AND BLOOR","Mechanical","N",6462,1
2024-01-23,"Tuesday",79,"23:52:23","MAIN STATION","Mechanical","W",8875,1
2024-02-23,"Friday",83,"15:46:37","KEELE AND GLENLAKE","Mechanical","E",7382,1
2024-06-09,"Sunday",110,"16:33:02","KEELE AND GLENLAKE","Vision","E",7668,1
2024-04-05,"Friday",86,"02:09:47","BLOOR AND MANNING","Security","S",6143,0
2024-07-11,"Thursday",99,"21:14:30","PARLIAMENT AND BLOOR","Mechanical","N",5653,1
2024-02-24,"Saturday",90,"04:10:24","PARLIAMENT AND BLOOR","General Delay","S",6183,0
2024-02-22,"Thursday",110,"11:17:48","KEELE AND GLENLAKE","Vision","N",8093,0
2024-03-06,"Wednesday",100,"21:57:25","BLOOR AND MANNING","Vision","N",4854,0
2024-12-10,"Tuesday",93,"04:47:17","FINCH STATION","Mechanical","S",7462,1
2024-10-12,"Saturday",85,"20:26:49","FINCH STATION","Mechanical","S",7003,1
2024-11-11,"Monday",104,"20:42:07","FINCH STATION","Vision","E",4545,0
2024-04-04,"Thursday",115,"19:34:41","KEELE AND GLENLAKE","Mechanical","E",5494,1
2024-11-03,"Sunday",88,"15:28:27","PARLIAMENT AND BLOOR","General Delay","S",5434,1
2024-04-03,"Wednesday",107,"03:00:14","BLOOR AND MANNING","Security","S",7933,0
2024-05-25,"Saturday",97,"07:54:48","FINCH STATION","Vision","N",7319,0
2024-02-18,"Sunday",110,"11:16:27","PARLIAMENT AND BLOOR","Security","S",5316,0
2024-07-10,"Wednesday",98,"14:48:38","PARLIAMENT AND BLOOR","Security","S",7960,0
2024-11-22,"Friday",103,"10:44:50","BLOOR AND MANNING","Mechanical","S",5014,1
2024-05-24,"Friday",103,"20:18:22","KEELE AND GLENLAKE","Security","N",6706,0
2024-06-07,"Friday",83,"16:12:16","BLOOR AND MANNING","Vision","S",6067,0
2024-09-24,"Tuesday",98,"02:49:28","FINCH STATION","General Delay","N",7898,0
2024-02-24,"Saturday",79,"21:30:10","FINCH STATION","Mechanical","N",7844,1
2024-06-18,"Tuesday",109,"11:31:56","FINCH STATION","Security","E",7612,0
2024-02-24,"Saturday",104,"17:59:26","PARLIAMENT AND BLOOR","Security","W",6329,0
2024-08-01,"Thursday",101,"12:43:54","FINCH STATION","Security","S",7121,0
2024-11-08,"Friday",91,"05:21:18","BLOOR AND MANNING","Security","S",7296,0
2024-02-06,"Tuesday",110,"20:10:53","PARLIAMENT AND BLOOR","Security","S",6252,0
2024-01-21,"Sunday",111,"18:09:55","KEELE AND GLENLAKE","Security","W",8305,0
2024-09-04,"Wednesday",92,"19:42:33","FINCH STATION","Mechanical","E",8073,1
2024-04-22,"Monday",99,"09:46:35","MAIN STATION","Mechanical","S",8001,1
2024-02-19,"Monday",94,"07:05:12","FINCH STATION","Mechanical","S",6849,1
2024-02-29,"Thursday",99,"12:20:19","BLOOR AND MANNING","Vision","S",6662,0
2024-01-24,"Wednesday",98,"07:18:39","PARLIAMENT AND BLOOR","General Delay","N",5864,0
2024-09-16,"Monday",83,"21:09:45","BLOOR AND MANNING","Security","S",6899,0
2024-09-08,"Sunday",97,"06:27:30","KEELE AND GLENLAKE","Vision","N",7526,0
2024-02-11,"Sunday",88,"04:13:18","PARLIAMENT AND BLOOR","General Delay","N",5747,0
2024-05-19,"Sunday",126,"21:41:38","FINCH STATION","Security","N",8543,0
2024-10-22,"Tuesday",83,"12:27:08","KEELE AND GLENLAKE","Security","E",5372,1
2024-11-09,"Saturday",113,"06:23:40","MAIN STATION","Security","N",8782,0
2024-07-05,"Friday",102,"19:26:02","FINCH STATION","General Delay","S",7537,0
2024-06-17,"Monday",123,"04:16:05","MAIN STATION","Security","S",7460,0
2024-06-11,"Tuesday",108,"03:07:14","MAIN STATION","Mechanical","E",8058,1
2024-03-26,"Tuesday",99,"20:48:09","BLOOR AND MANNING","Security","E",6555,0
2024-01-21,"Sunday",97,"01:57:36","KEELE AND GLENLAKE","Mechanical","E",6947,1
2024-07-27,"Saturday",101,"20:44:02","MAIN STATION","General Delay","S",8574,0
2024-11-03,"Sunday",89,"11:23:04","BLOOR AND MANNING","Vision","S",7524,0
2024-11-27,"Wednesday",93,"12:52:32","FINCH STATION","Vision","S",5120,0
2024-07-21,"Sunday",74,"03:33:18","MAIN STATION","Vision","S",5868,0
2024-01-23,"Tuesday",88,"19:34:33","MAIN STATION","Security","S",8101,0
2024-10-13,"Sunday",118,"02:29:52","KEELE AND GLENLAKE","Mechanical","W",7008,1
2024-05-24,"Friday",98,"10:45:46","MAIN STATION","Mechanical","S",6154,1
2024-10-12,"Saturday",84,"17:50:19","PARLIAMENT AND BLOOR","Vision","E",6614,0
2024-11-24,"Sunday",105,"09:31:19","FINCH STATION","Mechanical","N",6154,1
2024-12-01,"Sunday",98,"05:46:20","BLOOR AND MANNING","Security","N",8293,0
2024-03-31,"Sunday",112,"18:00:19","MAIN STATION","Vision","N",6403,1
2024-04-01,"Monday",104,"22:54:36","PARLIAMENT AND BLOOR","General Delay","N",9947,0
2024-12-11,"Wednesday",102,"03:58:58","KEELE AND GLENLAKE","Mechanical","E",7397,1
2024-05-07,"Tuesday",94,"19:41:33","BLOOR AND MANNING","Security","E",6653,0
2024-04-30,"Tuesday",111,"06:01:00","FINCH STATION","Mechanical","E",7360,1
2024-06-09,"Sunday",105,"20:04:03","KEELE AND GLENLAKE","Mechanical","S",6163,1
2024-11-25,"Monday",97,"03:50:54","MAIN STATION","General Delay","N",7582,0
2024-02-27,"Tuesday",115,"13:39:25","FINCH STATION","Security","N",6610,0
2024-10-21,"Monday",109,"08:21:59","MAIN STATION","Mechanical","N",6628,1
2024-02-13,"Tuesday",102,"16:32:32","MAIN STATION","Mechanical","N",7047,1
2024-06-04,"Tuesday",98,"20:22:58","PARLIAMENT AND BLOOR","Mechanical","N",6290,1
2024-05-26,"Sunday",83,"14:10:02","KEELE AND GLENLAKE","General Delay","W",6026,0
2024-03-07,"Thursday",97,"03:12:03","MAIN STATION","Mechanical","S",6318,1
2024-02-13,"Tuesday",112,"04:30:21","PARLIAMENT AND BLOOR","Vision","N",7305,0
2024-06-09,"Sunday",113,"05:34:54","MAIN STATION","Security","S",8186,0
2024-09-14,"Saturday",110,"02:48:04","FINCH STATION","Mechanical","E",8550,1
2024-10-28,"Monday",80,"16:50:12","BLOOR AND MANNING","General Delay","W",7064,0
2024-09-19,"Thursday",99,"21:57:51","PARLIAMENT AND BLOOR","Vision","E",7074,0
2024-07-27,"Saturday",100,"14:00:50","FINCH STATION","Mechanical","E",7113,1
2024-04-18,"Thursday",91,"08:42:39","PARLIAMENT AND BLOOR","General Delay","N",6766,1
2024-05-26,"Sunday",97,"19:44:33","BLOOR AND MANNING","Mechanical","N",6905,1
2024-04-06,"Saturday",87,"00:34:15","KEELE AND GLENLAKE","Security","E",7111,0
2024-09-17,"Tuesday",106,"21:31:55","KEELE AND GLENLAKE","Mechanical","N",8046,1
2024-01-02,"Tuesday",97,"20:06:03","KEELE AND GLENLAKE","Security","N",7118,0
2024-11-09,"Saturday",99,"18:36:07","PARLIAMENT AND BLOOR","Vision","N",7602,0
2024-10-21,"Monday",107,"16:09:27","PARLIAMENT AND BLOOR","Security","E",7774,0
2024-12-07,"Saturday",101,"21:49:24","BLOOR AND MANNING","Vision","W",7353,0
2024-07-27,"Saturday",103,"10:40:49","BLOOR AND MANNING","Security","N",7736,0
2024-08-24,"Saturday",89,"07:09:00","KEELE AND GLENLAKE","Security","S",8273,0
2024-11-03,"Sunday",112,"20:39:14","KEELE AND GLENLAKE","Security","S",6711,0
2024-07-07,"Sunday",88,"05:26:59","FINCH STATION","General Delay","N",7322,0
2024-05-02,"Thursday",107,"19:38:19","PARLIAMENT AND BLOOR","Mechanical","S",7044,1
2024-11-14,"Thursday",91,"03:43:42","PARLIAMENT AND BLOOR","Mechanical","N",6287,1
2024-03-04,"Monday",131,"00:02:37","PARLIAMENT AND BLOOR","Mechanical","W",6313,1
2024-10-16,"Wednesday",112,"20:50:12","MAIN STATION","Vision","S",8217,1
2024-03-08,"Friday",96,"20:58:11","BLOOR AND MANNING","Mechanical","E",5594,1
2024-03-12,"Tuesday",97,"07:33:06","FINCH STATION","Security","E",8503,0
2024-06-17,"Monday",106,"06:20:29","FINCH STATION","General Delay","N",7395,0
2024-07-18,"Thursday",101,"14:03:18","FINCH STATION","Security","N",6426,0
2024-10-21,"Monday",87,"00:00:38","BLOOR AND MANNING","Mechanical","N",7674,1
2024-02-09,"Friday",107,"10:58:00","FINCH STATION","Vision","S",6393,0
2024-12-07,"Saturday",94,"06:09:25","PARLIAMENT AND BLOOR","General Delay","N",6264,0
2024-02-22,"Thursday",88,"06:53:37","FINCH STATION","Mechanical","S",8065,1
2024-08-30,"Friday",96,"23:43:00","FINCH STATION","Mechanical","N",5103,1
2024-03-28,"Thursday",95,"17:46:39","KEELE AND GLENLAKE","Mechanical","S",5523,1
2024-07-03,"Wednesday",113,"02:27:06","FINCH STATION","Mechanical","S",6250,1
2024-05-18,"Saturday",102,"01:37:03","FINCH STATION","General Delay","N",6810,0
2024-06-03,"Monday",85,"01:21:23","BLOOR AND MANNING","Security","S",7971,0
2024-12-28,"Saturday",128,"11:11:43","FINCH STATION","Mechanical","N",5840,1
2024-06-14,"Friday",128,"08:06:16","KEELE AND GLENLAKE","Vision","S",7302,0
2024-12-21,"Saturday",93,"04:17:01","KEELE AND GLENLAKE","Security","N",6561,0
2024-09-13,"Friday",101,"23:24:56","FINCH STATION","Security","N",7054,0
2024-08-14,"Wednesday",80,"03:30:18","MAIN STATION","Security","N",9399,0
2024-07-21,"Sunday",114,"16:23:06","FINCH STATION","General Delay","E",6520,0
2024-09-30,"Monday",113,"02:31:01","FINCH STATION","Mechanical","S",6976,1
2024-09-20,"Friday",117,"13:28:54","BLOOR AND MANNING","Security","N",7398,0
2024-02-17,"Saturday",89,"01:47:37","FINCH STATION","Vision","W",8033,0
2024-04-09,"Tuesday",99,"02:00:40","MAIN STATION","Security","S",8012,0
2024-02-03,"Saturday",86,"18:30:52","PARLIAMENT AND BLOOR","Mechanical","N",8728,1
2024-05-25,"Saturday",113,"02:39:51","BLOOR AND MANNING","Vision","N",8528,0
2024-08-19,"Monday",94,"15:05:26","MAIN STATION","Security","S",6489,0
2024-04-05,"Friday",98,"18:03:54","FINCH STATION","Security","E",6626,0
2024-09-06,"Friday",93,"16:45:06","BLOOR AND MANNING","Security","N",7716,0
2024-04-26,"Friday",118,"05:55:20","MAIN STATION","Vision","W",6985,0
2024-05-01,"Wednesday",91,"12:15:25","MAIN STATION","Security","N",6092,0
2024-04-02,"Tuesday",92,"23:59:40","MAIN STATION","Vision","S",5849,0
2024-06-20,"Thursday",92,"13:53:09","PARLIAMENT AND BLOOR","Mechanical","N",6293,1
2024-12-23,"Monday",110,"00:43:41","BLOOR AND MANNING","Security","S",7072,0
2024-09-27,"Friday",109,"04:59:21","MAIN STATION","Mechanical","E",5806,1
2024-05-07,"Tuesday",105,"17:39:00","KEELE AND GLENLAKE","Mechanical","E",8193,1
2024-01-21,"Sunday",100,"18:48:40","BLOOR AND MANNING","Security","E",9986,0
2024-07-23,"Tuesday",97,"06:57:29","PARLIAMENT AND BLOOR","General Delay","S",7315,0
2024-08-06,"Tuesday",91,"04:51:36","KEELE AND GLENLAKE","Mechanical","W",7138,1
2024-08-17,"Saturday",101,"01:46:22","BLOOR AND MANNING","General Delay","E",6883,0
2024-10-05,"Saturday",127,"22:26:04","PARLIAMENT AND BLOOR","Security","S",7226,0
2024-11-12,"Tuesday",90,"20:20:28","KEELE AND GLENLAKE","Security","N",5165,1
2024-05-23,"Thursday",95,"16:54:42","MAIN STATION","Mechanical","E",7783,1
2024-02-04,"Sunday",101,"02:09:27","MAIN STATION","General Delay","N",8444,0
2024-02-20,"Tuesday",95,"09:56:37","KEELE AND GLENLAKE","Security","W",7229,0
2024-10-23,"Wednesday",115,"18:22:06","KEELE AND GLENLAKE","General Delay","S",5127,0
2024-04-20,"Saturday",104,"20:11:14","KEELE AND GLENLAKE","Mechanical","S",8151,1
2024-02-07,"Wednesday",95,"09:50:30","MAIN STATION","General Delay","W",7947,0
2024-03-13,"Wednesday",98,"05:49:34","PARLIAMENT AND BLOOR","General Delay","E",5963,0
2024-04-27,"Saturday",99,"02:42:07","BLOOR AND MANNING","Mechanical","S",7594,1
2024-08-27,"Tuesday",103,"23:28:25","MAIN STATION","Mechanical","N",5985,1
2024-08-31,"Saturday",104,"18:59:59","MAIN STATION","Security","E",7542,0
2024-05-26,"Sunday",89,"15:00:26","MAIN STATION","Security","S",7536,0
2024-08-15,"Thursday",98,"15:49:10","BLOOR AND MANNING","Security","N",8409,0
2024-12-15,"Sunday",108,"12:28:05","FINCH STATION","Security","W",5820,0
2024-02-14,"Wednesday",103,"14:10:04","MAIN STATION","Vision","S",7481,0
2024-12-13,"Friday",82,"10:03:53","FINCH STATION","Vision","E",6046,0
2024-08-18,"Sunday",101,"11:41:43","KEELE AND GLENLAKE","Mechanical","N",7392,1
2024-09-08,"Sunday",107,"01:21:37","KEELE AND GLENLAKE","General Delay","N",7268,0
2024-09-08,"Sunday",104,"19:10:43","BLOOR AND MANNING","Mechanical","N",7734,1
2024-07-21,"Sunday",114,"15:07:36","BLOOR AND MANNING","Security","S",7475,0
2024-08-02,"Friday",99,"12:08:14","BLOOR AND MANNING","General Delay","E",8041,0
2024-08-29,"Thursday",94,"14:21:57","MAIN STATION","Security","S",8502,0
2024-06-12,"Wednesday",93,"19:18:12","MAIN STATION","Security","N",6418,0
2024-11-11,"Monday",98,"01:16:18","KEELE AND GLENLAKE","Mechanical","E",7122,1
2024-08-26,"Monday",85,"06:49:40","MAIN STATION","Vision","S",5742,0
2024-08-27,"Tuesday",97,"03:33:38","MAIN STATION","Vision","N",6544,1
2024-09-22,"Sunday",90,"09:52:37","KEELE AND GLENLAKE","Security","N",5106,0
2024-08-22,"Thursday",83,"10:29:43","FINCH STATION","Vision","N",5095,0
2024-02-21,"Wednesday",105,"16:05:25","KEELE AND GLENLAKE","Vision","N",8218,0
2024-12-09,"Monday",103,"18:03:02","MAIN STATION","Security","N",6582,0
2024-11-02,"Saturday",96,"17:57:09","KEELE AND GLENLAKE","Mechanical","N",7077,1
2024-06-09,"Sunday",93,"06:15:24","BLOOR AND MANNING","Security","N",6897,0
2024-07-15,"Monday",93,"19:30:49","KEELE AND GLENLAKE","Security","S",6938,0
2024-09-28,"Saturday",95,"08:45:04","MAIN STATION","Security","N",6988,1
2024-02-03,"Saturday",116,"00:44:15","KEELE AND GLENLAKE","Mechanical","N",5430,1
2024-02-23,"Friday",98,"14:58:24","FINCH STATION","Mechanical","N",6338,1
2024-07-05,"Friday",111,"18:33:53","MAIN STATION","Mechanical","N",6174,1
2024-01-20,"Saturday",92,"06:05:04","KEELE AND GLENLAKE","Vision","N",6630,0
2024-11-20,"Wednesday",83,"20:53:13","MAIN STATION","Security","E",6692,0
2024-10-30,"Wednesday",117,"23:00:53","FINCH STATION","Security","N",5848,0
2024-09-24,"Tuesday",100,"21:11:06","KEELE AND GLENLAKE","General Delay","S",6230,0
2024-11-06,"Wednesday",113,"17:14:59","KEELE AND GLENLAKE","Mechanical","S",7324,1
2024-10-12,"Saturday",94,"17:34:12","PARLIAMENT AND BLOOR","Security","S",6718,0
2024-10-29,"Tuesday",102,"16:45:07","PARLIAMENT AND BLOOR","Security","S",7268,0
2024-09-13,"Friday",111,"12:16:09","BLOOR AND MANNING","Mechanical","E",5418,1
2024-11-23,"Saturday",88,"13:17:54","MAIN STATION","Security","N",7698,0
2024-11-25,"Monday",97,"20:49:30","BLOOR AND MANNING","Mechanical","S",6825,1
2024-05-14,"Tuesday",99,"13:14:26","KEELE AND GLENLAKE","Vision","S",5983,0
2024-09-02,"Monday",98,"21:22:35","MAIN STATION","Mechanical","N",6993,1
2024-12-15,"Sunday",111,"01:20:29","MAIN STATION","Vision","S",7404,0
2024-07-25,"Thursday",103,"08:00:18","FINCH STATION","Vision","N",6566,0
2024-09-17,"Tuesday",101,"02:50:35","KEELE AND GLENLAKE","General Delay","E",7183,0
2024-12-10,"Tuesday",88,"12:25:05","PARLIAMENT AND BLOOR","General Delay","E",9177,0
2024-07-29,"Monday",106,"15:41:12","PARLIAMENT AND BLOOR","Vision","N",5119,0
2024-01-07,"Sunday",104,"08:40:36","KEELE AND GLENLAKE","Vision","N",8062,0
2024-04-17,"Wednesday",79,"03:47:05","MAIN STATION","Mechanical","E",4722,1
2024-08-26,"Monday",96,"16:54:31","FINCH STATION","Vision","N",7288,0
2024-11-19,"Tuesday",88,"13:25:02","PARLIAMENT AND BLOOR","Vision","N",6640,0
2024-12-22,"Sunday",92,"04:52:02","BLOOR AND MANNING","Security","N",7571,0
2024-03-20,"Wednesday",97,"20:16:55","PARLIAMENT AND BLOOR","Mechanical","E",7425,1
2024-02-10,"Saturday",112,"14:58:02","FINCH STATION","General Delay","E",7406,0
2024-11-04,"Monday",107,"01:02:06","BLOOR AND MANNING","Security","E",4626,0
2024-07-28,"Sunday",100,"02:04:38","MAIN STATION","Security","W",5636,1
2024-11-19,"Tuesday",99,"09:18:12","PARLIAMENT AND BLOOR","Security","W",7646,0
2024-02-14,"Wednesday",95,"07:26:09","PARLIAMENT AND BLOOR","Mechanical","N",8518,1
2024-01-16,"Tuesday",82,"22:56:33","BLOOR AND MANNING","General Delay","E",7237,0
2024-02-14,"Wednesday",78,"23:02:00","PARLIAMENT AND BLOOR","General Delay","E",5681,0
2024-12-20,"Friday",99,"22:38:16","KEELE AND GLENLAKE","Security","N",6356,0
2024-08-11,"Sunday",92,"07:52:48","MAIN STATION","Mechanical","W",8676,1
2024-09-18,"Wednesday",100,"07:25:46","KEELE AND GLENLAKE","Security","N",7476,0
2024-09-29,"Sunday",118,"10:06:04","FINCH STATION","Security","S",7297,0
2024-04-24,"Wednesday",90,"00:01:32","FINCH STATION","Mechanical","E",8765,1
2024-11-05,"Tuesday",100,"06:30:09","KEELE AND GLENLAKE","Vision","N",7954,0
2024-04-04,"Thursday",112,"09:41:16","FINCH STATION","Mechanical","N",6310,1
2024-05-30,"Thursday",99,"07:26:33","KEELE AND GLENLAKE","General Delay","S",8453,0
2024-01-30,"Tuesday",111,"10:59:18","FINCH STATION","Mechanical","S",5988,1
2024-03-24,"Sunday",95,"18:23:11","PARLIAMENT AND BLOOR","Vision","N",7617,0
2024-12-06,"Friday",74,"23:58:37","KEELE AND GLENLAKE","Vision","N",7372,0
2024-08-19,"Monday",86,"17:58:05","MAIN STATION","Security","W",7001,0
2024-07-13,"Saturday",100,"22:32:55","MAIN STATION","Mechanical","N",6816,1
2024-10-24,"Thursday",100,"16:16:17","MAIN STATION","General Delay","S",6690,1
2024-02-19,"Monday",107,"22:20:54","BLOOR AND MANNING","General Delay","S",6519,0
2024-08-31,"Saturday",99,"05:11:24","KEELE AND GLENLAKE","Security","E",5943,0
2024-10-08,"Tuesday",97,"14:54:12","MAIN STATION","Security","E",7248,0
2024-07-15,"Monday",87,"23:09:45","KEELE AND GLENLAKE","Vision","N",5544,0
2024-12-09,"Monday",94,"20:21:42","MAIN STATION","Security","S",4880,1
2024-10-29,"Tuesday",98,"11:54:23","FINCH STATION","Vision","N",8415,0
2024-07-25,"Thursday",111,"14:33:35","FINCH STATION","Mechanical","N",5376,1
2024-07-09,"Tuesday",105,"10:42:00","PARLIAMENT AND BLOOR","Mechanical","W",6499,1
2024-11-20,"Wednesday",111,"18:50:58","MAIN STATION","Mechanical","E",7973,1
2024-05-24,"Friday",119,"22:33:57","KEELE AND GLENLAKE","Vision","E",9066,0
2024-09-02,"Monday",90,"02:38:39","BLOOR AND MANNING","Vision","N",6520,0
2024-03-10,"Sunday",107,"09:22:46","MAIN STATION","Mechanical","N",7840,1
2024-10-11,"Friday",99,"03:16:42","MAIN STATION","Security","S",6326,0
2024-11-13,"Wednesday",111,"23:45:21","BLOOR AND MANNING","Vision","S",6450,0
2024-10-12,"Saturday",107,"13:16:02","KEELE AND GLENLAKE","Vision","N",7048,0
2024-07-15,"Monday",94,"22:21:36","KEELE AND GLENLAKE","Mechanical","N",5886,1
2024-01-14,"Sunday",108,"01:57:24","PARLIAMENT AND BLOOR","General Delay","E",7226,0
2024-07-04,"Thursday",99,"20:39:34","MAIN STATION","Vision","N",7658,0
2024-07-25,"Thursday",115,"20:26:14","FINCH STATION","Security","N",8587,0
2024-07-22,"Monday",111,"18:24:13","MAIN STATION","Mechanical","S",8225,1
2024-05-28,"Tuesday",102,"04:29:59","MAIN STATION","Mechanical","N",6709,1
2024-09-02,"Monday",106,"21:18:05","MAIN STATION","Vision","N",8025,0
2024-11-21,"Thursday",119,"15:25:08","KEELE AND GLENLAKE","Security","S",7234,0
2024-04-11,"Thursday",93,"21:29:49","PARLIAMENT AND BLOOR","Vision","E",7373,0
2024-07-26,"Friday",100,"19:32:54","FINCH STATION","Mechanical","N",7441,1
2024-06-01,"Saturday",101,"08:43:12","BLOOR AND MANNING","Mechanical","N",7492,1
